t_Myr,M_base_Msun,M_rB_up20,M_rB_down20,M_lambdaEdd4
0.000000000000000000e+00,1.000000000000000000e+05,1.000000000000000000e+05,1.000000000000000000e+05,1.000000000000000000e+05
1.701701701701701860e-02,2.276276276276276330e+05,2.531531531531531655e+05,2.021021021021021297e+05,2.701701701701701968e+05
3.403403403403403721e-02,3.552552552552552661e+05,4.063063063063063892e+05,3.042042042042042594e+05,4.403403403403402772e+05
5.105105105105105234e-02,4.828828828828827245e+05,5.594594594594594091e+05,4.063063063063060399e+05,6.105105105105102994e+05
6.806806806806807442e-02,6.105105105105102994e+05,7.126126126126126619e+05,5.084084084084084025e+05,7.806806806806805544e+05
8.508508508508509649e-02,7.381381381381381070e+05,8.657657657657657983e+05,6.105105105105104158e+05,9.508508508508508094e+05
1.021021021021021047e-01,8.657657657657656819e+05,1.018918918918918818e+06,7.126126126126125455e+05,1.121021021021020832e+06
1.191191191191191268e-01,9.933933933933932567e+05,1.172072072072072187e+06,8.147147147147145588e+05,1.291191191191191087e+06
1.361361361361361488e-01,1.121021021021021064e+06,1.325225225225225324e+06,9.168168168168168049e+05,1.461361361361361342e+06
1.531531531531531709e-01,1.248648648648648523e+06,1.478378378378378227e+06,1.018918918918918935e+06,1.631531531531531364e+06
1.701701701701701930e-01,1.376276276276276214e+06,1.631531531531531597e+06,1.121021021021021064e+06,1.801701701701701619e+06
1.871871871871872151e-01,1.503903903903903905e+06,1.784684684684684966e+06,1.223123123123123311e+06,1.971871871871871874e+06
2.042042042042042094e-01,1.631531531531531364e+06,1.937837837837837869e+06,1.325225225225225557e+06,2.142042042042041663e+06
2.212212212212212314e-01,1.759159159159159288e+06,2.090990990990991006e+06,1.427327327327327570e+06,2.312212212212211918e+06
2.382382382382382535e-01,1.886786786786786746e+06,2.244144144144144375e+06,1.529429429429429583e+06,2.482382382382382173e+06
2.552552552552552756e-01,2.014414414414414437e+06,2.397297297297297511e+06,1.631531531531531829e+06,2.652552552552552894e+06
2.722722722722722977e-01,2.142042042042042129e+06,2.550450450450450182e+06,1.733633633633633843e+06,2.822722722722723149e+06
2.892892892892893197e-01,2.269669669669669587e+06,2.703603603603603784e+06,1.835735735735736089e+06,2.992892892892893404e+06
